Italian,English,German,Rank
turno,"round, turn",Runde,103
uomo,man,Mann,104
anno,year,Jahr,105
è venuto,came,kam,106
spettacolo,show,"Show, Spektakel",107
buono,good,gut,108
me,me,mich,109
dare,give,geben,110
il nostro,our,unser,111
sotto,under,unter,112
nome,name,Name,113
molto,"very, much","sehr, viel, ",114
attraverso,through,durch,115
forma,"form, shape","Form, Gestalt",116
frase,sentence,Satz,117
pensare,think,denken,118
aiutare,help,helfen,119
basso,low,"niedrig, tief",120
linea,line,Linie,121
differire,differ,unterscheiden,122
causa,cause,"verursacht, aufgrund, Ursache, Grund",123
prima,before,vor,124
spostare,move,bewegen,125
diritto,right,Recht,126
ragazzo,boy,Junge,127
lattina,can (of soda),Dose,128
vecchio,old,alt,129
troppo,too,zu,130
stesso,same,"selbst, derselbe",131
lei,"she, her","sie, ihr",132
tutto,"all, whole","alles, ganz",133
c’è,there is,es gibt,134
quando,when,wenn,135
uso,use,Das Nutzen,136
il tuo,your,dein,137
modo,way,Art und Weise,138
circa,about,ungefähr,139
molti,many,viele,140
allora,then,dann,141
scrivere,write,schreiben,142
sarebbe,would,wäre,143
così,so,so,144
queste,these,diese,145
lungo,long,lang,146
rendere,make,"machen, gestalten",147
vedere,see,sehen,148
due,two,zwei,149
ha,has,hat,150
guardare,look,"schauen, sehen",151
di più,more,mehr,152
giorno,day,Tag,153
potuto,could,konnte,154
andare,go,gehen,155
venire,come,kommen,156
ha fatto,did,"hat getan, hat gemacht, tat",157
numero,number,Nummer,158
suono,sound,Klang,159
no,no,nein,160
più,most,mehr,161
persone,people,Leute,162
il mio,my,mein,163
oltre,"over, beyond, further",über,164
sapere,know,wissen,165
acqua,water,Wasser,166
chiamata,the call,Anruf,167
primo,first,"erst, vorher",168
può,may,kann,169
giù,down,"runter, unten",170
lato,side,Seite,171
stato,been,war,172
ora,"now, hour","jetzt, Stunde, Uhrzeit",173
trovare,find,finden,174
testa,head,Kopf,175
stare in piedi,stand,stehen,176
proprio,own,"genau, sehr, eigen",177
dovrebbe,should,müsste,178
paese,country,Land,179
fondare,(to) found,gründen,180
risposta,answer,Antwort,181
scuola,school,Schule,182
crescere,grow,wachsen,183
studio,study,Studium,184
ancora,"still, yet","noch, immer noch",185
imparare,learn,lernen,186
impianto,"plant, installation","Installation, Anlage",187
copertura,cover,Abdeckung,188
cibo,food,"Essen, Nahrung",189
sole,sun,Sonne,190
quattro,four,vier,191
fra,between,zwischen,192
stato (n.),state,"Staat, Status",193
mantenere,keep,"halten, beibehalten",194
occhio,eye,Auge,195
mai,never,"nie, niemals",196
ultimo,last,letzter,197
lasciare,"let, leave",lassen,198
pensiero,thought,Gedanke,199
città,"city, town","Stadt, Ort",200
albero,tree,Baum,201
attraversare,cross,überqueren,202
fattoria,farm,Bauernhof,203
difficile,hard,schwierig,204
inizio,"start, beginning","Start, Anfang",205
forza,the might,Kraft,206
storia,story,Geschichte,207
sega,saw (n),Säge,208
lontano,"far, distant","weit, fern",209
mare,sea,Meer,210
disegnare,draw,zeichnen,211
sinistra,left,links,212
tardi,late,spät,213
correre,run,rennen,214
non,don’t,nicht,215
mentre,while,während,216
stampa,press,Presse,217
notte,night,Nacht,218
reale,real,"real, echt",219
vita,life,Leben,220
pochi,few,wenige,221
nord,north,Norden,222
libro,book,Buch,223
ha preso,took,"hat genommen, nahm",224
scienza,science,Wissenschaft,225
mangiare,eat,essen,226
camera,room,Zimmer,227
amico,friend,Freund,228
ha iniziato,began,"hat begonnen, begann",229
idea,idea,Idee,230
pesce,fish,Fish,231
montagna,mountain,Berg,232
una volta,once,einmal,233
base,base,Grundlage,234
sentire,"hear, feel","hören, fühlen",235
cavallo,horse,Pferd,236
taglio,cut,Schnitt,237
sicuro,sure,sicher,238
orologio,watch,Uhr,239
colore,color,Farbe,240
volto,face,Gesicht,241
legno,wood,Holz,242
principiale,main,haupt,243
aperto,open,offen,244
sembrare,seem,"erscheinen, aussehen",245
insieme,together,zusammen,246
prossimo,next,nächster,247
bianco,white,weiß,248
bambini,children,Kinder,249
ottenuto,got,"erhalten, erreicht",250
camminare,walk,gehen,251
esempio,example,Beispiel,252
alleviare,ease,"lindern, entlasten",253
carta,paper,Papier,254
gruppo,group,Gruppe,255
sempre,always,immer,256
musica,music,Musik,257
quelli,those,Solche,258
entrambi,both,beide,259
marchio,mark,Marke,260
spesso,often,"häufig, oft",261
lettera,letter,Brief,262
fino a quando,until,bis,263
miglio,mile,Meile,264
fiume,river,Fluss,265
auto,car,Auto,266
piedi,feet,Füße,267
cura,care,Pflege,268
secondo,second,Sekunde,269
abbastanza,"enough, quite","genug, ziemlich",270
pianura,plain,"Ebene, Flachland",271
ragazza,girl,Mädchen,272
solito,usual,"gewöhnlich, üblich",273
giovane,young,jung,274
pronto,ready,bereit,275
sopra,above,über,276
rosso,red,rot,277
elenco,list,"Liste, Verzeichnis",278
anche se,"even if, even though, although","auch wenn, obwohl, selbst wenn",279
discussioni,"talks, discussions","Diskussionen, Gespräche",280
uccelo,bird,Vogel,281
presto,"soon, early","bald, früh",282
corpo,body,Körper,283
cane,dog,Hund,284
famiglia,family,Familie,285
diretto,direct,direkt,286
posa,pose,"Pose, Verlegung",287
canzone,song,Lied,288
misurare,measure,messen,289
porta,door,Tür,290
prodotto,product,"Ware, Produkt, Artikel",291
nero,black,schwarz,292
breve,short,kurz,293
numerale,numeral,Ziffer,294
classe,class,"Klasse, Unterricht",295
vento,wind,Wind,296
domanda,question,Frage,297
accadere,happen,"passieren, geschehen",298
nave,ship,Schiff,299
area,area,"Bereich, Gebiet",300
metà,half,halb,301
roccia,rock,Stein,302
ordine,order,Bestellung,303
fuoco,"fire, heat","Feuer, Hitze",304
sud,south,Süden,305
problema,problem,Problem,306
pezzo,piece,"Stück, Teil",307
ha detto,"told, said","hat gesagt, sagte",308
sapeva,knew,wusste,309
passare,pass,"verbringen, wechseln",310
top,top,Top,311
re,king,König,312
strada,"street, road","Straße, Weg",313
pollice,"thumb, inch","Daumen, Zoll",314
moltiplicare,multiply,multiplizieren,315
niente,nothing,Nichts,316
corso,course,Kurs,317
soggiornare,stay,bleiben,318
ruota,wheel,Rad,319
completo,"full, complete","vollständig, kompleltt",320
vigore,force,Kraft,321
blu,blue,blau,322
oggetto,object,"Gegenstand, Objekt",323
decidere,decide,entscheiden,324
superficie,surface,Oberfläche,325
profondità,depth,Tiefe,326
luna,moon,Mond,327
isola,island,Insel,328
piede,foot,Fuß,329
sistema,system,System,330
occupato,busy,"beschäftigt, besetzt",331
test,test,Test,332
record,record,"Rekord, Aufzeichnung",333
barca,boat,Boot,334
comune,common,gemeinsam,335
oro,gold,Gold,336
possibile,possible,möglich,337
piano,"plan, floor","Plan, Stock, Etage",338
vece,"stead, behalf",Stelle,339
asciutto,dry,trocken,340
meraviglia,"wonder, marvel",Wunder,341
ridere,laugh,lachen,342
migliaia,thousands,Tausende,343
corse,ran / race,Fahrten / lief,344
controllare,"check, control","überprüfen, steuern",345
gioco,game,Spiel,346
uguagliare,"match, equalize",gleichkommen,347
perdere,"lose, miss","verlieren, vermissen",348
portato,brought,gebracht,349
calore,heat,"Wärme, Hitze",350
neve,snow,Schnee,351
pneumatico,tire,Reifen,352
sì,yes,ja,353
riempire,fill,"füllen, ausfüllen",354
est,east,Osten,355
dipingere,paint,"malen, streichen",356
lingua,"language, tongue","Sprache, Zunge",357
tra,"among, between","unter, zwischen",358
unità,"unit, drive","Einheit, Laufwerk",359
potenza,power,"Leistung, Kraft",360
certo,certain,"natürlich, sicher, gewiss",361
volare,fly,fliegen,362
cadere,"fall, drop","fallen, stürzen",363
grido,cry,Schrei,364
scuro,dark,dunkel,365
macchina,"machine, car","Maschine, Auto, Gerät",366
nota,note,"Hinweis, Anmerkung",367
aspettare,wait,warten,368
figura,figure,"Abbildung, Figur",369
stella,star,Stern,370
scatola,box,"Box, Kiste",371
sostantivo,noun,Substantiv,372
campo,field,"Bereich, Feld",373
resto,rest,Rest,374
corretto,correct,"richtig, korrekt",375
in grado di,able,in der Lage,376
libbra,pound,Pfund,377
bellezza,beauty,Schönheit,378
sorgeva,stood,"stand, befand",379
contenere,contain,enthalten,380
frontale,front,Vorderseite,381
insegnare,teach,lehren,382
settimana,week,Woche,383
finale,final,endgültig,384
ha dato,gave,gab,385
verde,green,Grün,386
oh,oh,"Ach, oh",387
veloce,"quick, fast",schnell,388
sviluppare,develop,entwickeln,389
oceano,ocean,Ozean,390
gratuito,free,"kostenlos, gratis",391
minuto,minute,Minute,392
forte,strong,stark,393
speciale,special,"besonders, speziell",394
mente,mind,"Geist, Verstand",395
dietro,behind,hinter,396
chiaro,clear,"klar, deutlich",397
coda,"tail, queue",Warteschlange,398
produrre,produce,"produzieren, herstellen",399
fatto (n),fact,Tatsache,400
spazio,space,"Raum, Platz, Weltraum",401
sentito,heard,gehört,402
migliore,best,bester,403
meglio,better,besser,404
vero,true,"wahr, echt",405
durante,during,"während, solange",406
cento,hundred,hundert,407
cinque,five,fünf,408
ricordare,remember,erinnern,409
passo,step,Schritt,410
tenere,"hold, keep","halten, behalten",411
ovest,west,West,412
interesse,interest,"Interesse, Zins",413
raggiungere,reach,erreichen,414
verbo,verb,"Wort, Verb",415
cantare,sing,singen,416
ascoltare,listen,"hören, zuhören",417
sei,six,sechs,418
tavolo,table,Tisch,419
viaggiare,travel,reisen,420
meno,"less, least","weniger, zumindest, mindestens",421
mattina,morning,Morgen,422
dieci,ten,zehn,423
semplice,simple,"einfach, simpel, leicht",424
vocale,vowel,Vokal,425
verso,toward,"nach, gegen, bei",426
guerra,war,Krieg,427
porre,lay,"stellen, setzen, legen",428
contro,against,"gegen, dagegen",429
modello,"model, pattern","Modell, Muster, Vorlage",430
lento,slow,langsam,431
centro,center,Zentrum,432
amore,love,Liebe,433
persona,person,Person,434
soldi,money,Geld,435
servire,serve,"dienen, servieren",436
apparire,appear,erscheinen,437
mappa,map,Karte,438
pioggia,rain,Regen,439
regola,rule,Regel,440
governare,"govern, rule","regieren, beherrschen",441
tirare,pull,"ziehen, werfen",442
freddo,cold,"kalt, kühl",443
avviso,notice,"Warnung, Hinweis",444
voce,voice,Stimme,445
energia,energy,Energie,446
caccia,hunt,Jagd,447
probabile,probable,wahrscheinlich,448
letto,bed,Bett,449
fratello,brother,Bruder,450
uovo,egg,Ei,451
giro,"tour, ride, lap","Runde, Fahrt",452
cella,cell,Zelle,453
credere,believe,"glauben, denken",454
forse,perhaps,vielleicht,455
scegliere,"pick, choose","wählen, aussuchen, auswählen",456
improvviso,sudden,"plötzlich, abrupt",457
contare,count,zählen,458
piazza,square,"Platz, Marktplatz",459
motivo,reason,"Grund, Motiv",460
lunghezza,length,Länge,461
rappresentare,represent,"darstellen, vertreten, repräsentieren",462
arte,art,Kunst,463
soggetto,subject,"Person, Subjekt, Thema",464
regione,region,"Region, Gebiet",465
dimensione,size,"Größe, Dimension",466
variare,vary,"variieren, abweichen",467
risolvere,settle,"lösen, klären",468
parlare,speak,"reden, sprechen",469
peso,weight,"Gewicht, Last",470
generale,general,"allgemein, generell",471
ghiaccio,ice,Eis,472
materia,"matter, field, subject","Bereich, Materie",473
cerchio,circle,"Kreis, kreis",474
coppia,pair,Paar,475
includere,include,"aufnehmen, enthalten",476
dividere,divide,teilen,477
sillaba,syllable,Silbe,478
feltro,felt,Filtz,479
palla,ball,Ball,480
onda,wave,Welle,481
cuore,heart,Herz,482
presente,present,"vorliegend, anwesend, präsent",483
pesante,heavy,"schwer, heftig",484
danza,dance,Tanz,485
motore,engine,Motor,486
posizione,position,"Lage, Position",487
braccio,arm,Arm,488
ampio,"wide, spacious","groß, breit, weit, geräumig",489
vela,sail,"Segel, Schirm",490
materiale,material,"Material, Werkstoff",491
frazione,fraction,Bruchteil,492
foresta,forest,Wald,493
sedersi,sit,sich setzen,494
gara,race,Rennen,495
finestra,window,Fenster,496
negozio,store,"Laden, Geschäft",497
estate,summer,Sommer,498
treno,train,Zug,499
sonno,sleep,Schlaf,500
dimostrare,prove,"nachweisen, beweisen, zeigen",501
solitario,lone,"einsam, allein",502
gamba,leg,Bein,503
esercizio,exercise,Übung,504
muro,wall,"Wand, Mauer",505
monte,mount,Berg,506
desiderio,wish,"Wunsch, Verlangen",507
cielo,sky,Himmel,508
pensione,"pension, retirement","Pension, Rente",509
gioia,joy,Freude,510
inverno,winter,Winter,511
seduto,sat,gesetzt,512
scritto,written,geschrieben,513
selvaggio,"wild, savage",wild,514
strumento,instrument,Instrument,515
erba,grass,"Gras, Rasen",516
mucca,cow,Kuh,517
bordo,edge,"Rand, Kante",518
segno,sign,"Zeichen, Schild",519
visita,visit,Besuch,520
passato,past,Vergangenheit,521
morbido,soft,"weich, sanft",522
divertimento,fun,"Spaß, Unterhaltung",523
luminoso,bright,"hell, leuchtend",524
gas,gas,Gas,525
mese,month,Monat,526
milione,million,Million,527
sopportare,"bear, endure","ertragen, standhalten",528
finitura,finish,"Verarbeitung, Finish",529
felice,happy,"glücklich, froh",530
speranza,hope,"Hoffnung, Chance",531
fiore,flower,"Blume, Blüte",532
vestire,"clothe, wear","kleiden, anziehen, tragen",533
strano,strange,seltsam,534
andato,gone,gegangen,535
commercio,trade,Handel,536
melodia,melody,Melodie,537
viaggio,trip,"Reise, Fahrt",538
ufficio,office,Büro,539
ricevere,receive,"erhalten, empfangen",540
fila,row,Reihe,541
bocca,mouth,Mund,542
esatto,exact,"genau, exakt",543
simbolo,symbol,"Symbol, Zeichen",544
morire,die,"sterben, töten",545
difficoltà,trouble,"Schwierigkeit, Problem",546
gridare,shout,"schreien, rufen",547
tranne,except,außer,548
ha scritto,wrote,geschrieben,549
seme,seed,Same,550
tono,tone,"Ton, Tonfall",551
aderire,join,"beitreten, anschließen",552
suggerire,suggest,"vorschlagen, empfehlen",553
pulito,clean,"sauber, ordentlich, rein",554
pausa,break,"Pause, Auszeit",555
signora,lady,"Frau, Dame",556
cantiere,yard,"Baustelle, Hof",557
salire,rise,"steigen, klettern",558
male,bad,"Böse, Übel, Schaden",559
colpo,"blow, hit","Schlag, Treffer",560
olio,oil,Öl,561
sangue,blood,Blut,562
toccare,touch,"berühren, anfassen",563
è cresciuto,grew,gewachsen,564
cent,cent,Cent,565
mescolare,mix,mischen,566
team,team,"Team, Mannschaft",567
filo,wire,"Draht, Kabel, Faden",568
costo,cost,"Kosten, Preis",569
perso,lost,"verloren, verpasst",570
marrone,brown,braun,571
indossare,wear,"tragen, anziehen",572
giardino,garden,Garten,573
pari,equal,"gleich, gerade, unentschieden",574
inviato,sent,"geschickt, übermittelt",575
caduto,fell,"gefallen, gestürzt",576
adattarsi,fit,sich anpassen,577
flusso,flow,"Fluss, Strom, Strömung",578
fiera,fair,"Messe, Jahrmarkt",579
banca,bank,Bank (€),580
raccogliere,collect,"sammeln, erfassen",581
salvare,save,"speichern, retten",582
controllo,control,"Kontrolle, Überwachung",583
decimale,decimal,Dezimalstelle,584
orecchio,ear,Ohr,585
rotto,broke,"gebrochen, kaputt",586
caso,case,Fall,587
sale e scende,rises and falls,steigt und sinkt,588
ladruncolo,petty thief,kleiner Dieb,589
disoccupato,jobless,"arbeitslos, Arbeitslose",590
vitello,calf,Kalb,591
quadro,"painting, picture","Bild, Rahmen",592
alimentazione,"diet, nutrition",Ernährung,593
consiglio,"tip, advice, councel",Rat,594
capitare,"happen, occur","passieren, geschehen, vorkommen",595
lamentare,"complain, lament",beklagen,596
anziano,old (person),alt,597
spaventare,"scare, frighten","erschrecken, abschrecken",598
dito (n),finger,Finger,599
comportarsi,"behave, act",sich verhalten,600
fingere,pretend,vortäuschen,601
litigare,argue,streiten,602
cioè,"that is, namely, i.e.","nämlich, das heißt",603
assaggio,"tasting, foretaste, sampling","Kostprobe, Geschmack",604
spuntino,snack,"Zwischenmahlzeit, Happen",605
stretta,"narrow, tight","schmal, eng",606
muore,he/she dies,er/sie/es stirbt,607
panchina,bench,bank,608
starnutire,sneeze,niesen,609
raffreddare,cool down,abkühlen,610
espirare,exhale,ausatmen,611
mancia,tip,Trinkgeld,612
sazio,full,satt,613
peccatto,"shame, sin","schade, Schande, Sünde",614
seta,silk,Seide,615
vetro,glass,Glas,616
calice,"chalice, glass","Weinglas, Kelch",617
tovagliolo,napkin,Serviette,618
tramonto,sunset,Sonnenuntergang,619
matto,crazy,verrückt,620
tizio,guy,"Typ, Kerl",621
a volte,sometimes,manchmal,622
edicola,"newsstand, kiosk","Zeitungskiosk, Kiosk",623
rivista,magazine,"Magazin, Zeitschrift",624
vanno,they go,Sie gehen,625
fate,you all do/make,Ihr macht,626
pazzo,crazy,"verrückt, wahnsinnig",627
pomeriggio,afternoon,Nachmittag,628
aglio,garlic,Knoblauch,629
rigirare,"stir, turn around",wenden,630
condimento,"sauce, spice, dressing","Soße, Gewürz, Dressing",631
allenatore,coach,Trainer,632
rinunciare,"renounce, give up","aufgeben, verzichten",633
neanche,not even,nicht mal / auch nicht,634
fiducia,trust,Vertrauen,635
rendersi conto,realize,"erkennen, wissen",636
avrò,I will have,Ich werde haben,637
avrai,you will have,Du wirst haben,638
avrà,he/she will have,Er/Sie wird haben,639
avremo,We will have,Wir werden haben,640
avrete,Y’all will have,Ihr werdet haben,641
avranno,They will have,Sie werden haben,642
avreste,Y’all would have,Ihr hättet,643
avremmo,We would have,Wir hätten,644
avrebbe,he/she would have,Er/Sie hätte,645
avresti,you would have,Du hättest,646
avrei,I would have,Ich hätte,647
avrebbero,They would have,Sie hätten,648
sete,thirst,Durst,649
schiacciare,"squash, crush, press","drücken, quetschen, zerdrücken",650
scolare,drain,abtropfen (z.B. Pasta),651
padella,pan,Pfanne,652
buttare,throw,"werfen, hauen, schmeißen",653
cotto,cooked,gekocht,654
abbondante,abundant,reichlich,655
fusilli,spiral pasta,Spiralnudeln,656
sparire,disappear,verschwinden,657
bugia,the lie,Lüge,658
smettere,(to) stop,aufhören,659
A quanto pare,Apparently / it seems that,"Anscheinend, offenbar",660
sbagliare,to make a mistake / get wrong,sich täuschen,661
